id,comments,sentiment,magnitude
96,"This project might be a good idea but from what I know, bicyclist don't use the bike lanes installed along William street. I travel that area and have not seen cyclists using them.",-0.3,0.7
97,This program is intrusive and unnecessary.,-0.8,0.8
98,"This is great! I would love for this to extend from Division all the way down Plymouth. A couple of weeks ago I was riding my bike on the side of road on Plymouth and a black, Ram truck didnt like they he had go around me and swerved to intimidate me.",0.2,2.3
99,"Cars squeezed into one lane cause traffic congestion which creates chaos. Cars turning right across the bike lane is dangerous for the cyclists. Congestion causes cars to dart off down side streets, driving more traffic onto residential streets.",-0.7,2.3
100,unprotected bike lanes make me feel very unsafe; I really like the further distance from cars and barriers,-0.6,0.6
101,Not needed. Bike lanes already abundant.,0.0,1.2
102,"I have not felt crowded during my downtown trips, safe social distance and a mask were comfortable. ",0.9,0.9
103,"Several times cars pass very close, even though there is a bike lane there is nothing physically protecting you when that happens. This changes that",-0.3,0.8
104,"I feel much more secure. Having cars whiz by your knee caps, and breathing exhaust, while walking, biking or just sitting on a patio is very disconcerting, dangerous, and a huge deterrent for me walking downtown and frequenting businesses.",0.1,1.6
105,Division is the only free flowing northbound artery in town. Constricting it to a single lane is asinine. A major accident on US23 will shut down Ply/Broad/Div all the way to Hill with ripples back to A2Saline/I94. End this insanity!,-0.3,1.4
106,Packard between Eisenhower and Platt is ridiculous. The sidewalks offer enough room for social distancing and the barricades every 1/4 mile or so make it hard to bike between them and the curb.,-0.7,1.4
107,It feels a lot safer to ride your bike in and not get doored or hit my a distracted driver,0.9,0.9
108,The bike lanes make me feel significantly safer biking to/through town.,0.9,0.9
109,This was a stupid idea,-0.8,0.8
110,"I love that the city is doing this and demonstrating its commitment to safer, pedestrian- and bike-friendly spaces in downtown. Ann Arbor is called Tree Town for a reason!",0.5,1.0
111,The Eisenhower to Platt closure makes no sense. This is not a high traffic area for bikes and pedestrians. However it is for cars. And now its congested and frustrating for drivers. The downtown ones are good and the dedicated bike lanes are great.,-0.3,3.2
112,"It's hard to maintain distance when sidewalks are crowded, these ameliorate this issue.",-0.7,0.7
113,Driving lanes in downtown Ann Arbor are tight. Having more distance certainly makes me less weary of being hit.,0.2,1.4
114,"The closures of the downtown core streets to allow restaurants to move tables into the street have been great. Makes me feel much safer, and more willing to come out and support our downtown eateries!",0.7,1.4
115,Dangerous for drivers to use the roads!,-0.7,0.7
116,Makes me paranoid about people not being aware of the project and not driving safely,-0.7,0.7
117,I have had close calls with cars many times while biking downtown. The protected lanes make me feel safer.,0.2,1.4
118,A dedicated space for cycling reduces the risk and few associated with traveling downtown,0.9,0.9
119,"As a cyclist I really appreciate the effort to expand the citys cycling infrastructure, but safety concerns prevent me from fully utilizing the pilot projects. I frequently see vehicles turning into the closed lanes or parked in the bike lanes",-0.3,0.6
120,More traffic backups + short lights = angry drivers. I've already witnessed drivers blowing through intersections with peds walking because they're trying to beat the ridiculously short lights.,-0.7,1.5
121,"Having a space without cars is safer, therefore, I can feel more comfortable.",0.9,0.9
122,The Packard Road closure serves no purpose. It is not helpful to anyone. It appears to be government micromanaging the ability for citizens to exercise their personal responsibility. It is governmental over reach.,-0.6,2.7
123,"The targets for this project - for me - arent large enough to make a big, safe difference. The major streets I use to commute - main, 7th, plymouth RD - are unsafe for social distancing and biking.",-0.3,0.7
124,With only 2 lanes....creates too much traffic and I feel more unsafe,-0.8,0.8
125,"Division in particular was always blocked by delivery trucks, and AAPD refused to enforce the bike lane",-0.7,0.7
126,It is very very very nice to have a physical separation between cars. Makes biking feel significantly safer,0.9,1.9
127,I feel much better protected from cars and the project allows me to enjoy more recreational activities at a safe distance from other pedestrians/cyclists.,0.9,0.9
128,This project is a great idea but feels unevenly executed. Some cones are haphazardly placed in the middle of the lanes. (Maybe after being hit by cars?) Amazon trucks park in the lanes.,-0.5,2.1
129,"there was never a ""straight shot"" way into town from the northside, so this seems useful. I would never had rode this street before.",0.5,1.0
130,Packard from platt to Eisenhower needs a bike lane. There is no easy and direct route downtown from the east side of town and beyond.,0.0,0.3
131,Having a dedicated lane to bike in is more comfortable than feeling constantly pressured by cars while on the road,0.6,0.6
132,"I feel much safer biking downtown, and I hope that these changes can be made permanent!",0.8,0.8
133,"The South Main closure in particular does not seem well understood by drivers. I have seen cars turn into the ""safe"" lane from Hill and from Pauline. Traffic back ups have also been noticed, especially behind vehicles making left turns.",-0.7,2.2
134,I feel so much safer and better able to navigate on my bike.,0.9,0.9
135,This allows me to safely cycle with my children downtown,0.9,0.9
136,"You are increasing the travel time for cars. Bicyclists will still weave in and out of traffic, cut into traffic to make a left hand turn instead of using cross walks, etc. It does not to decrease the amount of traffic, only increase congestion",0.0,0.5
137,have biked less as i am not biking to work,-0.6,0.6
138,I'm not in the S. Main section of downtown frequently enough to comment,-0.3,0.3
139,"Yes, nice for biking and I don't feel like I will get hit by a car.",0.3,0.3
140,Your questions fail to seek input about the impact of these projects on vehicles.,-0.7,0.7
141,I did not bike downtown at all untill this project made me feel safe from traffic,0.9,0.9
142,The worst idea in the world is closing packard for cars by two lanes because there's already sidewalks available for pedestrians it's just creating a giant traffic jam everywhere it's super off-putting and unnecessary,-0.8,0.8
143,Majorly disrupting traffic on main roads has made my neighborhood less safe.,-0.8,0.8
144,Much more caution being exercised leading to slower speeds for cars and safer for everyone. It is hard to explain how much better my life is being able to actually use a connected series of separated bike paths/lanes to connect to parts of town.,0.4,0.8
145,Safety from cars and people and finding the safe space between,0.7,0.7
146,"I'm no longer scared to ride on these roads. I feel safe/secure/comfortable knowing that whether or not cars around me see me, I'm safe. I feel comfortable going the opposite direction on division- it's never been so fast/easy to get directly downtown.",0.9,2.7
147,I do not bike on sidewalks for pedestrian safety and I never feel safe biking in streets without bike lanes. These expanded bike lanes greatly increase my feeling of safety.,0.2,1.4
148,"I use the south Main to bike, and return home from work each day via car. It is typical that traffic is bumper to bumper from stadium past Pauline and nearly to hill. I rarely see pedestrians making use of the closed lanes, but it does cause congestion.",0.0,0.9
149,I think more clear bike lanes and lower speed limits on major roads would help more. The pilot on packard East of town is creating big traffic problems for cars,-0.6,1.2
150,poorly marki\ed and confusing due to lack of striping/signage. Despite these flaws I like that there is an effort to improve safety,-0.2,1.1
151,Elevated danger from exhaust emissions.,-0.6,0.6
152,"With students back and construction o in full swing, these lane closures feel very restrictive and a lot of people are driving through them.",-0.7,0.7
153,"I was hit by a car while on my bike a little over a month ago on Jackson Rd, just East of Stadium. If Jackson Rd. had these lanes I feel that would have prevented that accident. At almost 68, I ride through downtown, Kerrytown and campus all the time.",-0.1,1.0
154,Please please please continue this. It feels like Europe and it so magical. Would love to have this permanently here or at least in the Fall/Spring/Summer.,0.8,2.5
155,I can't ride a bicycle so I wouldn't know.,-0.5,0.5
156,They are ugly and unsightly. They confuse the many already not confident drivers.,-0.8,1.6
157,Increased chance of vehicle / pedestrian accidents,-0.4,0.4
158,Safety from cars,0.4,0.4
159,"Being separated from cars has been great for my comfort and safety. I will say that cars keep parking in them, which somewhat lessens that impact.",0.3,1.3
160,i feel safer on the streets with these ped and bike protections moving forward,0.9,0.9
161,I don't like biking on the road with cars -- they're aggressive,-0.9,0.9
162,"The extreme traffic jam caused by the lane closures on S. Main and on Division create ""football saturday"" levels of congestion every day. Biking or walking alongside that is not gratifying, and the closed lane has almost no bikers or walkers in it.",-0.7,1.5
163,"Lanes don't leave enough room with the barriers for real use for walking or biking. Lanes are too close to traffic, especially on Packard where the traffic is moving quite fast and gets backed up during rush hours",-0.6,1.3
164,It's a) an eyesore b) increases traffic backups c) has negatively impacted air quality with more idling cars.,-0.7,0.7
165,"I walk, run and bike regularly. While I appreciate the intention of this project, I am completely opposed to how it is being executed. As Ann Arbor continues to grow we must improve the roads for driving, both quality and flow, first.",0.0,1.3
166,My son and I bike all the time . On Packard where there is a permanent bikelane it can have a lot of cars on it and we prefer to be on the side walk. Another thing is e is no school traffic so you are not seeing how bad it gets during rush hour.,0.0,1.4
167,designated bike space helps everybody,0.8,0.8
168,No one is using these sloppily blocked off lanes for cycling or walking. I have been the sole cyclist in them when I've used them. They make the route feel less safe by funneling confused drivers into narrow spaces.,-0.5,1.5
169,The downtown lanes have made cycling much safer and more comfortable,0.5,0.5
170,Road conditions are still poor. Construction barrels are not an effective divider.,-0.8,1.7
171,"I see about 1 bike for every 300 or so cars, so we are inconveniencing the majority for a very small minority. I can see if we had thousands of people riding bikes and there was nobody driving cars but we are not there yet.",-0.6,1.2
172,"I cannot agree with this statement enough, the barriers especially make me feel exponentially safer as a regular cyclist commuter.",0.6,0.6
173,"The added car congestion and driver frustration will lead to a car/cycle conflict eventually, with no good outcome possible.",-0.8,0.8
174,This is a way to bypass the voters... those roads are for motor vehicles. The city has stolen millions of dollars from the citizens and turned the state roads into bike lanes,-0.5,1.7
175,I dont bike. Am always very considerate of bikers. But polluting the air while stuck in traffic on packard is bad. I'm 69 years old with ms and I'm not going to start riding a bike now.,-0.1,2.6
176,Streets are blocked through the backup traffic and crossing or turning is difficult,-0.8,0.8
177,"In some cases yes, in some cases no. For example, cars frequently park in the temporary bike lanes in spite of the markings/barriers; having to dive around them is dangerous.",-0.5,1.0
178,The project is unnecessary; I bike all the time and this has not improved (or worsened to be fair) my biking experience. What it has done is severely deteriorate my driving experience.,-0.8,1.6
179,"I fully support this initiative. Many of these streets have slim shoulders or no shoulders due to street parking, and adding these lanes will absolutely encourage me to commute and navigate downtown on my bike (with my kids).",0.8,1.7
180,I feel like this pilot was very poorly implemented and completely unnecessary. It was shameful use of tax payer money that would be better applied to fixing the roads!,-0.8,1.6
181,These are ridiculous. Nobody is using them at all. For anything. It just backs up traffic.,-0.2,2.1
182,"Ive not yet biked in the new project area, but will be more likely to do so with a dedicated safe bike lane.",0.4,0.4
183,"Yes, having a physical barrier separating bike lanes makes me feel safer. I have been occasionally verbally threatened and physically intimidated while riding on Packard and Division in the past where no bike lane is present.",0.2,1.4
184,I primarily use the main street. I think it would be best to put Main Street back to the way it was years ago with one lane going north and south with the turn lane in the center and bike lanes on either side,-0.1,0.2
185,Causes more congestion in safe street zones,-0.5,0.5
186,there is plenty of space on the sidewalk to social distance,0.7,0.7
187,"This survey is so biased! If you want info, you need to ask questions that arent all slanted to be pro Healthy Streets! I like biking and walking, But the healthy streets are really messing up traffic.",-0.4,1.3
188,"I do not bike downtown, so some questions got my ""best"" but limited answer.",-0.3,0.3
189,"I LOVE this project and I can only hope that it will continue. seriously, it is incredible and a step toward modernizing our city.",0.9,1.9
190,This has been great!,0.9,0.9
191,This project is putting all at risk. Drivers are driving recklessly to try to get through traffic and it is impossible to turn on a street.,-0.8,1.6
192,"I like the project but wish that (a) the roads were better, especially at State and Packard and (b) that the Miller/Catherine project was longer. It doesn't feel worthwhile to use it on a bike headed eastbound when it only goes 3-4 blocks.",-0.4,0.9
193,I feel much more comfortable with the separated bike lanes that are available,0.9,0.9
194,The two way bike lane on Division feels much safer than the previous bike lane.,0.9,0.9
195,"I like that the pilot keeps me separate from cars, covid has not been an issue for me riding. Esp on a street like Division that has some rough spots its nice to be able to weave around the bumps that were/are in the old bike lane",0.8,1.6
196,I was able to take my 2 year old in a trailer and get to the B2B almost entirely using bike lanes from the far West Side. I wouldn't have felt comfortable doing that without these projects. Without these there are big gaps in our bike infrastructure.,0.6,2.0
197,I no longer have to compete for the sidewalk with bicyclists now that they have a safe place to ride in the street.,0.9,0.9
198,"It's important to integrate bikers w/ auto traffic, it helps condition drivers to pay attention to us. These dedicated areas reduce our visibility.",0.5,1.1
199,I walk/dont bike. Its been GREAT to have more space so I'm not walking right next to other people.,0.2,1.1
200,"I believe making this a long term change will hurt, not benefit, AA.",-0.8,0.8
201,I can maintain my distance without hopping into traffic!,0.9,0.9
202,I always felt very unsafe riding my bike across the broadway bridge. The piolot project is so needed there!,0.0,1.4
203,Makes access to businesses impossible. Has literally reduced our interest in spending money in the city of Ann Arbor.,-0.2,1.1
204,I am a biker and car driver but shutting down a whole lane causes a lot of traffic congestion. I am a healthcare provider and feel shutting down car lanes is not needed for social distancing. Wear a mask!,-0.4,1.7
205,"As a prolific walker, I am constantly being forced into Street by cyclists. Miller is a designated truck route west of Main. Witnessing increased traffic incidents - box truck jammed under Train Trestle on Felch St. On 9/17.",-0.4,1.2
206,My husband (who bikes) does enjoy Division bike lane and the ability to cross Broadway Bridge without being on the pedestrian sidewalk (that is what he would choose normally as traffic is too fast to safely bike over the Broadway Bridge normally).,0.8,0.8
207,I'm able to bypass people easily when walking.,0.8,0.8
208,worse in the roads with barracades,-0.8,0.8
209,As a cyclist crossing the Broadway bridge has always felt like the most dangerous place in down. Cars are going over the speed limit and you are between them and a concrete wall. The extra space is excellent!,0.0,2.2
210,"Risk to get COVID:close, prolonged (>15 minutes) contact in an enclosed space.Passing another on the street for a brief moment won't increase your risk.Watch people movement on a street closed for restaurants. People pass by each other without hesitation.",-0.1,0.9
211,This is a shitty program and should stop immediately,-0.6,0.6
212,The making driving more difficult and confusing distracts drivers and therefore makes it much more dangerous for cyclists and walkers. The smoother and easier for drivers the better they can observe and watch out for cyclists and walkers,0.0,1.8
213,Cars are scary and I like the additional separation,0.7,0.7
214,"Granted, I don't bicycle. I do not like the pilot projects. Even under COVID decreases in automotive traffic, crossing the Broadway Bridge is very much slowed, and I don't see bikers using the assigned lanes. Besides the Bridge has really wide walkways.",-0.4,2.0
215,I appreciate having traffic control objects outlining the paths. Painted lines and road diets are not safe.,0.0,1.7
216,The biggest barrier for biking,-0.7,0.7
217,"There are already sidewalks along Division and the Broadway bridges, and adding additional bike lanes seems to me to be a waste of a valuable driving lane.",-0.8,0.8
218,"nice idea for residential streets like Washington (not on the maps fsr) but entire lanes for long distances on busy arterials is harebrained, jamming up traffic",-0.2,0.2
219,"Expanded width & extended lanes at intersections reduce anxiety and increase safety when bike lanes disappear at intersections, when there have been no bike lanes as in Packard between Hill & State and the road is in such disrepair that it feels unsafe.",-0.7,0.7
220,None of the questions apply. I no longer ride a bike.,-0.3,0.8
221,These are the dumbest idea the council has done and a waste of taxpayers money,-0.8,0.8
222,I believe the intallation of the lane restrictions especially along Main between Pauline and Stadium and Packard from Eisenhower to Platt have actually increase the likelyhood of traffic accidents with little or no benefit to pedestrians or cyclists.,-0.4,0.4
223,"I mainly commute in a car through town as I work out of the city, I walk downtown frequently and the additional space has not provided me any benefit or comfort in that regard.",-0.7,0.7
224,"Since working remotely, I've biked far less.",0.1,0.1
225,"A physical barrier between me and my family and moving cars has made direct walking routes downtown safer and more fun. Before, we never would have enjoyed walking so close to cars.",0.7,1.4
226,"I personally have not used any of these bike/walking paths and instead have found them incredibly frustrating and ineffective, alongside many other residents of Ann Arbor and students.",-0.7,0.7
227,Having barriers between myself on a bike and cars is a huge change. Cars have to slow down with narrower passages. It reduces accidents. I feel a lot better knowing a car can't just drift into the bike lane without noticing.,0.4,3.3
228,Get these barrels out of the roadway,-0.4,0.4
229,As a downtown merchant the road closures are a HUGE hinderance for business.,-0.3,0.3
230,It is just a bunch of orange construction barrels. A half hearted attempt at a solution that does not make it more enjoyable to walk and makes getting around by car (yes people still have to use a car) a nightmare.,-0.8,1.6
231,This is a total waste. Does not address my issue of Broadway & Swift.,-0.8,1.7
232,I think that the space taken up by the bike lanes are excessive.,-0.7,0.7
233,I would love to see more permanent protected bike lane infrastructure similar to Williams st especially along Packard from Stadium to downtown.,0.8,0.8
234,General traffic flow operations analysis does not appear to have been completed by a professional. Cutting transportation pathways in half in the name of a brief moment of social distancing is not even close to worth it,-0.7,1.4
235,Stop Californicating the City of Ann Arbor!,-0.8,0.8
236,I like having the physical barriers reminding cars that they need to stay in the car lane only and respect bike riders and pedestrians.,0.5,0.5
237,"The healthy streets program has hugely improved my life! I have lived on South Main for years, and do not own a car. Biking has always felt unsafe for most of AA, until now. The program has given great coverage, I hope it becomes permanent.",0.2,2.3
238,Stupid idea. Screws up traffic flow and adds to congestion. Please stop and build real bike lanes if you are serious about this idea.,-0.5,1.6
239,"Love the William street bike lane. Also LOVE the Division St bike lane. Division is crowded with pedestrians, so the dedicated bike lane is much safer for ALL.",0.7,2.2
240,Does anyone associated with this assinine project have a functioning brain cell? I should be interested in ascertaining what drugs were ingested or inhaled prior to the decision-making process. Idiots!,0.0,1.2
241,There is plenty of room to maintain social distancing without cutting into vehicle space on the road. There is not enough foot/bike traffic on most of these roads to warrant condensing road space.,0.0,1.6
242,"Please do not keep the healthy streets. Traffic is much worse, making me feel less safe and secure",-0.8,1.6
243,"Am disabled, these disruptions are of no help.",-0.8,0.8
