id,comments,sentiment,magnitude
40,"I do not use these streets to walk or bike. Like hundreds (thousands?) of others, I regularly drive. I am most concerned about the lane reductions on Packard, from Eisenhower to Platt. This is a busy stretch of road in a largely commercial area. To reduce traffic to one lane in each direction is ridiculous and, in my view, hazardous. I just spent 4 changes of traffic signals to get through the Packard/Platt intersection. I witnessed several near misses as frustrated drivers attempted to ""jump the line."" For someone like me, who lives near the intersection of Packard and Stadium, I will now take residential streets next time I go to shopping areas on Carpenter Road, as I witnessed others doing today. Is this the intent of the closure? PLEASE RETHINK THIS DECISION!!!",-0.3,3.4
41,"I would eliminate completely. I do not see anyone using. Almost all people I have spoken to dont like it. Im know there was good intentions but it really missed the mark. Im a business owner. People love weekend Street closures, nothing but favorable comments regarding that. In fact almost all people say it should be expanded more days.",-0.4,3.8
42,"This was a nice idea, but I haven't seen anyone using them. I think the 'if you build it they will come' mentality did NOT work for this. I also think the implementation was bad. Sorry Ann Arbor, better luck next time. Not all ideas or pilots will work. Don't fall for the sunk cost fallacy. Cut your losses and try something else!!",-0.6,4.6
43,"This wont matter. The Mayor and his cronies have declared this to be the way. No one cares about anybody. Keep shutting down roads. Keep running unfilled, overweight buses which our roads werent designed for. Keep the city center happy, screw the working neighborhoods. I have lived here all my life. I always vote democratic and lean liberal, but Ann Arbor has gone to far, no idea to stupid or dumb. Lets just keep focusing on pet projects. Add more, so you can take care of less. Roads are crumbling, sewage back ups, street flooding, inadequate equipment/funding for snow removal, outrageous housing costs. But well have bike lanes. How are you going to maintain these? Hire more worker? Buy more equipment? Where will the increased costs come from?",-0.2,6.8
44,Get rid of the Packard one between Platt and Eisenhower. You people are going overboard,-0.8,1.6
45,"The protected bike lanes are AWESOME. It makes it so much safer, slows traffic way down, and is fun to use. For the first time ever it feels like we have a real bike network to get around the city. We need more of these, and they need to be permanent! We must move into the future where cars are not the primary mode of transportation.",0.5,3.6
46,Can I show you pictures?,0.0,0.0
47,"Again, this is a very biased survey that does not let nonbikers comment, it also assumes that the entire city population want to bike. That is not true.",-0.9,1.8
48,Thank you very much for your work and thoughtfulness in this.,0.9,0.9
49,Why was broadway taken down to one lane on the bridge going east? This has made cars back up during peak travel times. I cant imagine if we were not in a pandemic what traffic would be like or even worse on a football Saturday. The Division area is a mess and confusing.,-0.5,2.3
50,"Blocking the lane on Swift today has put me over the edge as I commute from the Northside neighborhood through town to work on the south side and back each day. Traffic already backs up along Pontiac Trail while waiting for the traffic light to change. I see almost no cyclists using any of the blocked lanes as I travel through town. The Longshore slow street is completely ineffective with one sign at the canoe livery that was facing the wrong direction the last time we walked past and nothing else farther into the neighborhood. It stops/slows nothing. Flashing traffic lights forcing four way stops at busy intersections impede traffic. Does anyone even use the Washington bike lane except cars that get confused and drive down it? Please stop. When I walk downtown, I use existing sidewalks and don't have a problem sharing them with cyclists who are uncomfortable with bike lanes. Please don't assume that just because we cycle and walk that we don't also drive.",-0.4,5.8
51,Do not take lanes from main arteries for bikes and pedestrians.,-0.8,0.8
52,"I suspect there will be many complaints from drivers about these changes, but I think part of that will be the result from misunderstandings - people who think these are permanent changes, especially. I really support and have benefited from this pilot project, but the execution has been confusing even for those of us who have followed its development - in terms of both how to use the lanes, how long they will be up, when they would roll out, etc.",-0.4,0.9
53,"If you want to make streets safe for bicycles, how about fixing their atrocious condition? It's called maintenance.",-0.4,0.9
54,Who reads these survey responses? What weight do the answers carry against ve$ted intere$t$? How do you get feedback from citizens without access to computers?,-0.2,0.6
55,This survey does not address automotive users that guarantees confirmation bias in the results. I've seen trump surveys that are less biased.,-0.4,0.8
56,This only helps able bodied people that already own a bike. Not everyone can ride a bike or can afford the expense of getting one. Over half the year it is too cold to rely on a bike. The city's maintenance with snow makes this a no go. Our streets are so poorly maintained for potholes as it is.,-0.5,2.9
57,Please please please make sure it is possible to safely exit the bike lane to the regular lane at any point in time / along the lane in case there is an obstruction in the lane. There needs to be adequate spacing between cones/barriers to exit the bike lane safely. This is also not ideal with the extra wide two-way lane on William; I perceive the bike lane on S 7th as much safer and am far more comfortable riding on S 7th despite the higher speed limit.,-0.3,1.1
58,"This is the dumbest idea ever and needs to be removed. This project is going to get people killed from the increased traffic and the poor integration of bike lanes with areas where cars will be turning. Also, this survey was poorly put together and worded in such a way as to only provide data which will support the argument that these are a good idea. It is embarrassing and whoever put it together should be ashamed.",-0.8,3.2
59,This has really made downtown feel more safe and welcoming. It makes me more likely to go downtown and less likely to drive. ,0.8,1.6
60,"Invest in a light rail system if you want to change things for the better for pedestrians, bikers, and emissions. This experiment has been a confusing, chaotic mess that has made commuting into Ann Arbor extremely unpleasant for those who have no other choice because the buses barely go anywhere and have terrible hours that don't cover hospitality or hospital workers. The only good thing has been the Main Street outdoor dining initiative. I've met literally nobody who likes all these street closures.",-0.4,1.8
61,"As much as I approve the Division/B-way improvements as a cyclist, it feels very awkward as a driver. And I will have to be a driver at least 7 months out of the year when it is cold and slippery!! I think this awkwardness will be better when the permanent structures are in place. But I hear from many residents (and experience myself) that Division is a real choke point for people getting to the Northside at peak commute times and there aren't alternatives other than Main/M-14 which are also parking lots during peak commute times. So, is there a way to make this a win-win??",-0.2,1.6
62,"The inconvenience to drivers is minimal and the benefit to people choosing cheaper, cleaner forms of transportation is substantial. Kudos to the DDA and Ann Arbor City Council for being so forward thinking in their management of *our* Ann Arbor.",0.4,0.8
63,This program is just dumb. Get rid of it - this was a waste of money.,-0.8,1.7
64,"I would love to see the project expanded to better connect Ann Arbor and Ypsilanti. I live near the border between the two cities and its pretty easy to get to downtown AA on a bike, but there arent as many nice routes to get to Ypsi.",0.4,0.9
65,6,0.1,0.1
66,"I don't want to compete with cars in the road walking or riding on streets with multiple lanes 4 or more of car traffic. Separate bike paths are better and for dedicated space on roads such as 7th Street, there needs to be a safety barrier for bikes from cars, not plastic cones.",-0.5,1.1
67,"I didnt realize this project would close major roads like packard. Its ridiculous! Traffic is backed up forever on Packard, causing more people to cut through residential neighborhoods! And why on earth are the signs up in residential neighborhoods with wide streets and sidewalks???? Does the city need something to do, something to make them feel productive during this pandemic? Because this is a giant waste of resources and creates traffic congestion.",-0.5,3.5
68,Look at the Ann Arbor townies site. This program is VERY unpopular.,-0.4,0.9
69,Stop wasting our tax money on these ill advised projects because it looks trendy in other cities.,-0.8,0.8
70,"I'm not a fan of the aggressive reduction of car lanes in Ann Arbor. I bike, and I am a fan of bike lanes, but not when it takes roads to 1 lane, which in many of the ""healthy streets"" areas is the case. Half of the year, it's cold or snowing here. People need to be able to drive. During the COVID lockdown, traffic is reduced, but I can't imagine having Division St. down to a single lane for cars with normal traffic levels. Also, it seems like the city is prioritizing bike lane construction over the essential maintenance of roads. Many roads go neglected for years with dangerous (for cars and bikes) potholes, yet we seem to be considering elaborate bike highways. I prefer the city to prioritize resurfacing and maintaining the roads correctly. I've blown three tires and bent two wheels on my car in the past few years in Ann Arbor. I wouldn't ride my bike on many of our streets for this reason. Also, while biking certainly can help reduce carbon footprint, cars will soon be electric.",-0.2,4.2
71,Reducing to one lane for streets is absolutely horrible. Especially the busier ones like Packard. I also work for DoorDash and Postmates. The constant road closures and one lanes is making it harder for me to do my job in Ann Arbor. I do like on the weekends they have certain parts near main closed for outside dining. That makes complete sense but last night trying to navigate because of lanes closed and traffic was horrible. Are they going to fix the roads that are blocked off? Or are they just blocked off for bikers? I don't mind the bikes lanes that were actually physically made or sharing the road but seems absolutely ridiculous when Packard and other streets are busy and we can't use the other lane.,-0.3,4.5
72,"This is great! Keep up the good work. I would like to see more solutions like this that facility BOTH traffic flow of bikes/pedestrians and cars. Also, since Michigan is less bike friendly in the winter maybe this could be summer traffic flow meaning the patterns flex with the demand/season. Would like to see Main become permanently a pedestrian space on the weekends, like in Europe where there are steel pillars that raise and lower in the ground.",0.3,2.8
73,"Way to go, you've managed to take the danger and frustration of the bike lane at S 7th and Stadium and replicate it across the city. Cars turning right are crossing over the cyclists in the bike lane going straight. I was talking with a neighbor about our frustration of this new downtown scheme and she told me about a near collison she had at this intersection just yesterday. Plus, if you drive a motorcycle or bike, you're too light to trigger the traffic light and you get stuck at intersections waiting for a car to drive up and trigger the light. Then there's the new death defying turn at the top of Carey St where you have to make a sharp, uphill merge onto N Division. Now I have to weave between the large orange barrel and the pedestrian walkway marker to join traffic that has been narrowed to one lane. Someone's going to get hit here for sure. Again, this is too dangerous for motorcycles and scooters - now I'm driving my larger vehicle for safety.",-0.5,4.8
74,"Who decided to close Arborview, one off the widest streets in Ann Arbor, to through traffic? Its absolutely ridiculous.",-0.5,1.1
75,"Please built more protected bike lanes. I'm an experienced cyclist, and am still wary of cars. So many people I talk to say they'd love to bike but are too scared because of the lack of infrastructure.",-0.6,1.8
76,"I can hardly express my anger at this change. As far as ""healthy streets"" go, the exhaust emissions when cars back up for more than a half a mile at rush hour certainly don't qualify. To escape, cars go tearing through my neighborhood, where children play along the streets. The total mileage amassed on cars certainly increases, which is hardly a sustainable course. And as for me? Only at the lowesttraffic hours can I make a left turn out of my street (Easy Street). Even a right turn is a challenge. So I, too, take a longer route, burn more gas, etc. Please remove the barriers.",-0.4,3.9
77,"Ann Arbor, seems pretty considerate.",0.9,0.9
78,"Where is the survey asking those who are NOT cyclists how they feel about these? Packard between Platt and Eisenhower already gets terrible backups at busy times, and closing these lanes has made it worse. There are no great alternative routes - Washtenaw and Ellsworth are equally bad. I have seen a grand total of OBE cyclist riding in the closed lanes. Closing these permanently would create a daily commuting nightmare for a large number of people - please don't do this.",-0.7,3.7
79,"Despite some valid criticisms, this is a good start to making AA a more friendly pedestrian/cycling city. Kudos to everyone who has played a part in getting it to where it is now.",0.9,1.8
80,I had no idea this was a thing - its has had a terrible rollout. it sucks for drivers and bikers. The one on Division over the broadway bridge was so dangerous the other day. Heavy equipment was blocking the bike lane and the bikes swerved into traffic without looking causing cars to have to slam on their brakes. Please consider putting more money into affordable housing and less money into this ridiculousness.,-0.7,3.5
81,"Just keep up the good work and keep protecting citizens from vocal truck lobbies! And please ignore the 'street parking' whiners, there is loads of parking in easily accessible and cheap lots. We never have a problem!",0.6,1.9
82,This pilot program is a huge pain for commuting by car. The roads downtown are already a nightmare and reducing the number of car lanes makes it worse. Not everyone has the luxury to bike to work.,-0.8,2.4
83,"Passing someone on the sidewalk is not the same as ""not consistently maintaining 6' distance"". You people are nuts. STOP!",-0.8,2.5
84,I hope you make all of the temporary lanes permanent! I love them!,0.6,1.2
85,As a person driving down Packard and Eisenhower to work it is taking much longer and less safe for driving. I feel penalized for having to drive to work not having the luxury or opportunity to work from home to use the healthy streets. As Eisenhower is a major thoroughfare I think the healthy streets can remain in the park nearby and the sidewalks.,-0.6,1.9
86,"I hope we'll continue doing the street closures on weekends even after COVID. It's great for downtown restaurants, and we customers don't have to breath the fumes and listen to the noise of traffic right beside our tables.",0.6,1.2
87,Healthy Streets is the dumbest thing city counsel came up with!,-0.8,0.8
88,This whole project is a joke. I have to work in downtown ann arbor and getting here is already a struggle. Having to wait at every single traffic light 2 cycles because so many cars are backed up is ridiculous. I have not seen a single person use these lanes. Not once. Even the bike lane installed on williams isn't used AT ALL. I am so confused as to why the ann arbor city council wants to make driving in this city so impossible and difficult. I have seen many people driving the wrong way in these areas that used to be 4 lanes that are needlessly down to 2. Please stop it. Please. It's insane and ridiculous.,-0.7,7.7
89,"I haven't seen a single person use these pilot project bike/pedestrian lanes. They're not in places where the foot traffic is so high that sidewalks are crowded. Closing Main St to cars on weekends has helped, but it gets so congested with pedestrians there on weekends I avoid the area anyway for Covid-19 safety.",-0.5,1.6
90,Please never do this again. It was a mistake to even try a trial run.,-0.8,1.6
91,I appreciate the expanded space for safe biking and walking.,0.9,0.9
92,"People are driving much more aggressively on Division, particularly near Division and Huron, because of how backed up traffic gets now. This makes it less safe for everyone, including any bikers or pedestrians.",-0.8,1.6
93,This is the worst idea ever. Strictly punishes commuters that cannot afford to live within the confines of Ann Arbor. Ann Arbor needs these people to function yet now you're making them sit in their cars more. YAY! Just wait until working from home starts to not be possible for the majority of A2 companies next year. This dumb idea is only going to get worse. You owe the city a refund of the tax payers money that you wasted on this silly project. Get better at critical thinking before you implement another dumb project.,-0.3,5.1
94,Restricting one lane on Packard just creates congestion with traffic. Does not make sense.,-0.7,1.5
95,The project is a nice idea but woefully inadequate for where its needed most - we need to get downtown in the first place from outlying areas of A2!,-0.6,0.6
96,Doing this now while more than half of workers are not working because of covid will give you misleading information. If you base what to do off of this 90 day test...it will not be correct in the future when everyone is back to work. Last year on an average day at 5 p.m. with 2 lanes open traffic backs up from Plat road all the way past Briarwood. I can't imagine the nightmare if you made Packard one lane when everyone is back to work.,-0.6,2.5
97,"I have never seen anyone use the protected biking/walking area in any of the project zones, but I have seen traffic backed up more than ever before. I makes me dread driving each and every day. Great job.",0.0,1.9
98,Consider bike highways like in Denmark and Holland. Streets that are *just* for biking,0.1,0.2
99,"Just wanted to comment on the idea that local streets belong only to people who live on them, & that misleading signs (implying that the route is closed) should be put up to get rid of ""those other people."" We all pay taxes for the roads & therefore have the right to travel on them. Pretty scary when one is trying to get somewhere & sees these signs implying (falsely) that the road is closed. Do you realize people often have to get places urgently?",-0.4,2.6
100,Physically separated bike lanes make commuting and biking around Ann arbor so much better. Please continue adding more as they make my life and many others lives easier,0.4,0.9
101,"I live on the Northside and biking was my primary year-round mode of transportation to get to work before working remotely the pandemic. I still bike to do errands downtown and bike through downtown to get to other neighborhoods or the mall. This project is a great idea but feels unevenly executed. The temporary lanes feel like a construction zone, not a special bike zone. Some cones are haphazardly placed in the middle of the bike lanes. (Maybe after being hit by cars?) Amazon trucks park in the lanes. What if the bike lanes on the Broadway bridge were in the direction of car traffic on the bridge but the Division St bike lane still had two-way lanes? Thanks for considering. I hope this project becomes permanent, but with a bit cleaner look and more intuitive experience.",-0.1,4.2
102,"I like that you are just ""going for it"" with these projects while you have the chance.",0.9,0.9
103,"Bike lane on Packard from Eisenhower all the way to carpenter. Please. This is a very long main road and would allow tons of ppl to ride downtown in a safe manner. Frankly, a lack of contiguous bike lane from the Packard and platt area going to downtown is the only thing that stops me from commuting to UM by bike every day. My current route with the backroads is slow, riddled with a potholes and requires riding on platt north of Packard which is insanely dangerous due to the traffic speed and horrendous road condition",-0.1,2.0
104,Having the outside lane closed on packard to platt is extremely inconvenient for rush hour drivers. Back ups are even worse.,-0.7,1.5
105,Keep the healthy street closures OFF OF THE MAIN STREETS IN ANN ARBOR!!!!!,-0.5,0.5
106,"This pilot is wonderful, should be made permanent, and expand to other areas.",0.8,0.8
107,"As a driver, I am not sure why packard from platt to eisenhower is helpful to pedestrians and bikes. I use this area daily and haven't yet seen anyone in the new designated lanes; all have been on the sidewalks. I won't be using this stretch of the road during morning and afternoon rush hour as I can already see cars lining up down packard going west to get into town because of traffic. this is normally a heavy traffic road and I feel all 5 lanes need for cars and traffic flow of vehicles; there are sidewalks on both sides of that stretch of the road and very little businesses in that stretch. I realize there are bikes and foot traffic; there are cross walks in that stretch of the road as well.",-0.3,1.8
108,"This project makes absolutely no sense at all. Please focus on what Government is supposed to provide and what the tax dollars are collected for such as; road repair, infrastructure maintenance, sewer and water, law enforcement, and other pertinent issues such as Dioxane contamination which was ignored by the city for decades. It is not the job of the city to ignore road repair while spending millions of dollars on protected bike lanes. I have, and many others, have serous concerns when watching lavish spending and firing a city administrator without just cause.",-0.7,2.9
109,You need to think street/lane closures through more carefully. I know people who would need to drive to downtown who now go other places because it has become difficult to get around. You are limiting the business to people who live within walking distance to the downtown. This is not NYC; you so not have a downtown population large enough to support the downtown businesses.,-0.5,2.2
110,I think the barrier over the broadway bridge should NOT be present. making the turn from Carey street right onto the bridge is already challenging. these barriers make it dangerous. I do not think there should be a bike lane over that bridge. the sidewalks are fine.,-0.4,2.4
111,The closure of a two full lanes on Packard between Eisenhower and Platt is inappropriate for the amount of traffic flow on this artery. Please discontinue the pilot in this area as soon as possible.,-0.7,1.4
112,"What are you thinking? This experiment is a terrible idea that will make the downtown completely unwelcoming to those who use vehicle, such as out of town visitors and those who live in outlying neighborhoods.",-0.6,1.3
113,Please keep the bike lanes! They make Ann Arbor so much more accessible.,0.5,1.0
114,it's ridiculous to close lanes on a major thoroughfare,-0.8,0.8
115,Your projects are so poorly thought out and dumb that I am having a hard time even writing something respectable to you. 1. How can you do a pilot project when the world is half working and think you will get any decent feedback with regards to roads and traffic? 2. The havoc it is creating in the streets and adjoining neighborhoods is brutal and dangerous. You can't even turn onto main street from any of the non light streets. People are burning thru my neighborhood to cut thru because you can't get on main street. I can't believe people vote and hire people who are so incompetent to put some of these ideas into place. I wish I didn't have to pay such ridiculous taxes to such idiotic stewards of our money. Thank you.,-0.5,6.7
116,"Working downtown I find these street closures to be an added stressor in an already stressful time. We have a wealth of park land in the area and plenty of open space. All I see as a result of this is more traffic congestion. I would consider riding the bus, but frequent service is not available and I'm sure they don't run on time due to the increased traffic caused by these projects. I rarely see them being used and thought it was a construction project until recently. Open the streets up to traffic and make pedestrians responsible for looking both ways and being aware of their surroundings. Incredibly disappointed by this and other city council solutions to non existent problems.",-0.2,3.6
117,Disappointed tax payer money was used for a project like this.,-0.7,0.7
118,"All programs - I am new to town, and thought the barriers were construction zones on the sides of streets, and talked to other MBA students who had the same thought. We were all avoiding the temporary bike lanes and diving into traffic because we thought it was the only option! How counterintuitive. Maybe the entrances to these can have a sign or paint on the road. The cone at the entrance (even while I know it's to keep out cars) makes it look like even more of a deterrent. GREAT project, very much up my alley, but it wasn't obvious to a newcomer, and I made it worse by avoiding blocked off areas rather than using them as a bike lane!",-0.1,0.9
119,This is horrible. The traffic is ridiculously bad because of this project. This is unacceptable.,-0.8,2.5
120,"Your survey questions assume bikers/walkers are the only ones who would need to be surveyed. But there are far more automobiles on Packard (Eisenhower to Platt) than pedestrians. So you should offer a survey to drivers! One reason for more auto use is we are so far from downtown. Walking is difficult at such a distance. Even biking is, esp. in much of the year's weather conditions. There are many of us that use this route who are NOT going downtown. We are going out of town or to shopping that is not downtown. Therefore biking or walking is out of the question. Finally, I would like to submit this comment: the project, at least on the southeast side, seems to be very ill conceived. Why spend precious city resources on a project that has no value-add? It is less safe for drivers, unnecessary for COVID social distancing, looks ugly, and is not well executed. Basically, us drivers would like our lane back, and think the whole idea is kind of silly. There are much bigger fish to fry.",-0.3,5.3
121,Its late sept...time to end this experiment to ease the commute through town.,0.0,0.0
122,"Management of the construction associated with this plan has been atrocious. Construction workers have poorly placed signs, are disrespectful to residents in the areas, and are very obviously stretching out improvement plans as long as possible. Is it people friendly to deliberately obstruct roads, walkways and more for 10-20 minutes at a time, leading to the associated delay with commuters? How about to start extremely noisy construction at 7 AM everyday, only to stop work 45 mins later and for the next 2.5 hours as the workers go on break. It is very obvious that neither the DDA nor the City Council actually cares about Ann Arbor residents. I am deeply disappointed in this organization and firmly do not believe that any of these plans are motivated to improve the City of Ann Arbor. Frankly, at this point it appears the motivation is to invent a reason to funnel money into Whitmore Construction.",-0.7,5.3
123,"I think one of them has been misplaced. There is a sign on Hikone street which is a 2-LANE street that runs into a neighborhood and ends. This causes people who want to pull in to have to stop on Eisenhower and wait, if someone is exiting at that time. Getting in and out of that neighborhood with the road being so narrow was already a challenge and now this is absolutely ridiculous. I dont know about the other healthy streets but that one will surely cause an accident some day. Whats more, that area is all walking paths and sidewalksincluding Mary Beth Doyle Park being just behind the neighborhood and having half of the road blocked does absolutely nothing but cause chaos. ",-0.4,3.8
124,"Know this inconveniences some people in cars. But I love that A2 is trying to get ahead of the curve regarding the explosion of more people biking for everyday needs. It has to happen. Not just for the environment and our health, but more importantly for our own personal happiness. At almost 68, I've been riding bike and have been carless for about 6 years. I've never felt better! I was working full time when I started. Admittedly, now that I'm retired, it's easier for me than many to bike year round. AndI don't mind walking my bike through snowy days to get my supplies. I'd rather do that than take a bus any day. But the main point I'm trying to share is that I think we need to promote this transition by stressing how GREAT and HAPPY riding bikes make us feel, along with the health benefits and the environmental advantages.",0.3,5.7
125,"I fully support increased street enhancements for pedestrians and bicyclists. However, far too often I have seen adult cyclists using sidewalks when there is a perfectly good bike lane right alongside, and as a walker and runner I have experienced rude and entitled behavior by cyclists, and unwillingness to give up the right of way to pedestrians using shared paths. I sympathize with cyclists who regularly experience disrespect from motorists, but improvements for cyclists must come with a campaign to encourage courteous and respectful riding in areas where pedestrians may be present.",0.0,1.7
126,"I do not understand why Packard from Eisenhower to Platt is being considered for this. Do you have any idea of the amount of traffic on this road, especially in this area? It is extremely inconvenient for auto traffic!!",-0.6,1.9
127,Don't bite the hands that feed you...,-0.7,0.7
128,"Keep up the good work! I've been seeing some negative comments on facebook but I really appreciate that the DDA doesn't cater to the windshield perspectives. Everyone I know really, really, appreciates these projects.",0.8,2.5
129,I love these projects and hope they can stay around long enough that people get used to them and begin to take advantage of them. Right now I think many people dont know what they are for.,0.1,1.5
