id,comments,sentiment,magnitude
11,"Make them permanent! Again, I can not stress enough how big of an improvement these bike lanes are over the previous car-centric lanes. Besides making them permanent, here are a few tweaks that might help: 1. Better signage for the south-bound lane on Division and the east-bound lane on Catherine. Since these lanes flow opposite traffic, better signage and traffic signals could improve safety for cyclists. 2. Larger barriers to prevent cars from entering the bike lanes to make right turns. I have seen this several times on Division. 3. A city-wide ban on ""right on red"" turns could help improve the safety of the bike lanes. 4. Remove the speed bumps in the bike lane on Division and instead install them on the car lanes 5. Anything that helps make this kind of installation permanent and normalizes cycling as a method of travel within the city is a step in the right direction!",0.1,3.0
12,Division streets pilot project is great.,0.7,0.7
13,"I don't think the project on Packard from Eisenhower and Platt has actually been implemented yet, and if it did I'd be using it almost as much as all of the other ones combined due to where I live. Please make that happen! I'd probably advocate using more of the water-filled barriers to mark off the bike lanes on Division, Packard at Hill and State, and Miller/Catherine, rather than the construction barrels. It'd make it more clear that the lanes are not for cars and provide a larger barrier to cars going into the lanes. Having more signage on all of the bike lanes to make it clearer to delivery vehicles and others that there's a bike lane where a road or set of parking spaces used to be would be good as well.",-0.1,1.2
14,Nothing.,-0.5,0.5
15,Make them permanent!,0.5,0.5
16,"Maybe more signs for cars to be aware of bikers. When sharing the road, cars some times get very close of pass you very fast.",-0.1,0.2
17,"Stop vehicles, especially delivery trucks, from using them as parking zones (e.g. Division Street). And please be more proactive in keeping them clear of trash dumpsters (e.g. Packard in front of Jimmy John's, which was reported to A2 Fix It five days ago and never addressed). These lanes are useless to cyclists if they're blocked.",-0.7,2.1
18,Please make permanent with concrete dividers!,0.0,0.0
19,Packard needs help the entire way from Main to Stadium (or past). Its way too stressful to ride in the bike lanes now.,-0.7,1.4
20,"- Be balanced and consider cars too. - Start bicycle enforcement. I see daily violations (running stop signs, failure to yield). - Educate bicyclist that they must follow traffic laws. - Educate bicyclist that car drivers cannot see them when they enter intersections late.",-0.4,2.3
21,"Remove the new speed bumps on Division north of Huron. I have encountered them, and I now know that there is no chance that I will father any more children.",-0.6,1.3
22,this survey is way overboard in bias to bikers,-0.8,0.8
23,"Some signage inviting bikers and walkers to use the routes would help. I keep seeing bikers still using the other side of the street instead of the walk/bikeways. There's no news source that we all read or watch or listen to, so public education is difficult; signs on the routes would (maybe) do it.",-0.4,1.2
24,"Make Division one way, full width bike lane all the way to the bridge. On the bridge do a road diet to three car lanes and have traditional bike lanes on each side. Encourage uphill south bound bike traffic to use the gentler grade on 5th, or have an alternative South bound route on State St.",0.0,0.2
25,Better barriers on S Main! This is the one I use the most and there is HEAVY traffic in this area during rush hour. Cars are clearly annoyed with the barriers and I don't trust them to respect widely spaced traffic cones alone.,-0.5,1.5
26,Ticket bicyclists who dont use dedicated bike lanes.,-0.5,0.5
27,The closure from Packard from Eisenhower to platt has created additional traffic in the nearby neighborhoods due to people trying to escape the massive traffic logjam. This may have been fine during the Covid lockdown but traffic is back to near pre-Covid levels after the university classes started. Please end this experiment before a child is injured due to angry driver speeding in the neighborhoods.,-0.5,1.6
28,Cars need to use these roads. There are not enough cyclists to warrant this project,-0.5,1.1
29,"I think some of the marking for the bike lanes are unclear to how it's split from the road, but this is a function of the fact that they are temporary (the william st markings are clear).",0.0,0.0
30,"Expand them all, or simply make it clear where they end so there's no confusion.",0.0,0.0
31,South Main,0.3,0.3
32,I would eliminate this program altogether but limiting Packard motor traffic to one lane between Eisenhower and Platt is the worst.,-0.7,0.7
33,"While the idea behind these projects is great, you have taken away significant parking for Ann Arbor residents. This is unreasonable and disproportionately causes issues for people who live within Ann Arbor. It is unacceptable to take away resident parking while leaving so much government employee only parking on Ann Street and unneeded metered parking garage spots. You have sold resident parking on streets and then taken it away.",-0.5,2.2
34,please get rid of them,-0.8,0.8
35,"Nothing, if anything just continue to expand these bike lanes; they're excellent!",0.9,0.9
36,There needs to be clearer signage for cars cutting across the Division St bike lanes to go down Carey St. I would extended the State St bike lanes to make a more comprehensive bike lane going up and down State St. I think protected bike and pedestrian use in this area is critical due to heavy bike/pedestrian traffic and physical distancing needs.,-0.6,0.6
37,Division St - difficult to get from the street to the bridge,-0.6,0.6
38,I strongly support all of these pilot locations and would support all lanes becoming permanent.,0.9,0.9
39,"These may already exist - but more ""look both ways"" signs for traffic turning onto or crossing Division would be great.",-0.1,0.1
40,Put in physical concrete barriers to protect the bike lanes,0.0,0.0
41,all of them,0.0,0.0
42,I think they're all wonderful. My only comment might be fine-tuning some of the intersections where the mix of bike lanes/temporary cones/streets can be confusing to traffic flow. ,0.5,1.0
43,"I really applaud the effort to expand the bike infrastructure via these pilot projects. We sorely need a bike commuter friendly northsouth route and I appreciate this being provided via the Division St pilot. However having both biked and driven this route since its opening, I'm concerned that the primary danger to bikers -- turning cars -- is not really mitigated by the changes, which may come at a high cost of congestion over this route. As an alternative, it would be great to have a two-way bike lane on the east side of Division, with (red/green) turn arrows for the car traffic crossing this lane. This lane could occupy the curb right of way and/or the existing parking spaces for much of the route, though I realize that would require engineering work going well beyond the scope of a pilot.",0.1,3.1
44,"Obviously, we need COMPLETE, connecting, safe bike routes. And better maintained surfaces. I've been cycling for fully 50 years in A2. It's improving but still a long way to go. N. Main and Huron River Dr. are heavily used cycling routes but still not safe. W. Stadium Blvd/Maple is much better but still has gaps.",-0.2,3.5
45,Packard (from Eisenhower to Platt): I would create a harder division between the lane for biking and the lane for driving. Cars still go fast here (speed limit ~45 mph?) and I don't feel comfortable having my small child bike in the (temporary) bike lane on Packard here with only minimal temporary orange barrels separating the 2 lanes.,-0.1,0.3
46,"I would add a Healthy Street pilot project to Packard between Eisenhower and Stadium. I've often used this artery to get to downtown for work, however, cars drive really fast on this road and the distance between bicyclist and motorized vehicles do not feel safe.",-0.3,0.8
47,No recommendations.,-0.7,0.7
48,"Division street + Miller/Catherine -- These have greatly increased my ability to commute to the areas in town in which I need to, without going out of my way to stay on pre-established bike lanes. Furthermore, I think it has contributed to a greater sense of awareness by car drivers for bikers and runners - I have felt much more respected on the road recently.",0.9,1.9
49,Packard (to Platt) This is absolutely ridiculous to create such a traffic problem with nobody is using these lanes. I sincerely hope these healthy streets will be removed before the snow flies. Its really getting ridiculous,-0.6,1.8
50,"I do not use these streets to walk or bike. Like hundreds (thousands?) of others, I regularly drive. I am most concerned about the lane reductions on Packard, from Eisenhower to Platt. This is a busy stretch of road in a largely commercial area. To reduce traffic to one lane in each direction is ridiculous and, in my view, hazardous. I just spent 4 changes of traffic signals to get through the Packard/Platt intersection. I witnessed several near misses as frustrated drivers attempted to ""jump the line."" For someone like me, who lives near the intersection of Packard and Stadium, I will now take residential streets next time I go to shopping areas on Carpenter Road, as I witnessed others doing today. Is this the intent of the closure? PLEASE RETHINK THIS DECISION!!!",-0.3,3.4
51,Nothing - just need more confidence in the COVID safety behaviors of others.,0.1,0.1
52,Nothing... I would just say that I particularly like the pilot project work on Miller/Catherine.,0.2,1.2
53,"I understand the barriers are temporary to see if this works or not, but they are very cumbersome and make the bike/walk lanes not actually bigger. I think the broadway bridge was created to be a multi-use sidewalk. Why not just paint a bike lane on the bridge's pedestrian/bike lane (which btw is already PROTECTED! from cars). It is scary to ride on the broadway bridge on the road, and the barriers to not make it look less scary. ",-0.4,2.2
54,"Division - at N end either end at Division/Beakes merge, or continue to Pontiac Trl light. I think better to end at Division/Beakes, but add single-direction bike lanes to traffic in both directions, reducing car traffic to 3 lanes if necessary. Install bike signal for crossing Huron. At all sites, more signage to alert users (in all kinds of vehicles) would make it feel safer. But I love the slower traffic on Division with the 4-way stops. State/North U - Would be much better to just have single-direction bike lanes on State on either side.",0.0,1.7
55,Take in to consideration cars. Poor intersection layouts.,-0.4,0.8
56,"What the hell were you thinking? ""Healthy street"" on a MAIN ROAD is asinine. Traffic is now even worse. Note the sarcasm when I say Great fucking job, assholes.",-0.5,2.7
57,"More permanent infrastructure, stop signs for bikes at all of the intersections, maps of where the bike network is for cyclists, and more trees/bushes/flowers separating bicyclists from cars.",-0.3,0.3
58,Packard from Eisenhower to Platt is of great concern. Traffic going west in the morning is backed up as it is and this causes more congestion. One lane really? Traffic going east bound between Eisenhower and platt at 5 pm is horrific. People are flying down the middle lane To get to platt to turn left. Starting at Easy Street. Plus there is a bike path on both sides of Packard. Social distancing doesnt even play into this. There is going to be some fatalities and a lot of frustrated motorists trying to get home after work. Whats the point ??!!,-0.4,5.6
59,Dont do any of them. They make it much harder for those who must drive both because of distance and age to go from place to place. Some make it very hard to turn left.,-0.6,2.0
60,Division and Broadway should not be one lane. Speed bumps on Division are not clearly marked and are hard to see early in the morning or after dusk.,-0.8,1.6
61,Division already has bike lanes and the Broadway bridge has wide sidewalks. Seldom does a cyclist use the road across the bridge using the wide sidewalk instead. Division has very few cyclists and I've seen fewer since lanes were blocked. The connection to the bridge from Carey Street is confusing at best and now it's miserable. Trying to turn right into one lane onto the bridge is dangerous. Packard at Hill & State is a silly squeeze for a block that eliminates turn lanes and results in traffic backups.,-0.4,3.0
62,"Don't use construction materials that are too hard to get around. They are not placed adequately, easier just to stay on the sidewalks. Referring to most of the projects.",-0.3,1.1
63,"Packard at Hill and State forces bikes into some of the more cracked pavement which adds another layer of risk, so that area needs attention to the road conditions in order for a project like this to be fully successful. Also SIGNAGE. The lack of signage that drivers can see to explain the project - and to signal that it is not construction, but a road change - would help with motorists being more understanding of what is happening and (hopefully) reduce some of the anger around these changes.",-0.1,0.5
64,Packard from Eisenhower to platt This is a very busy area and motorists are angry they are stuck in only two lanes now,-0.7,0.7
65,This idiotic idea needs to be put to sleep.,-0.8,0.8
66,"Don't allow bikes on major arteries like Miller, but then don't allow cars on the parallel routes like Arborview. Actually, it's difficult to see how you're going to make this work, given the small scale of the existing streets. You've chosen a moment when people are already feeling trapped & isolated to impose an ""experiment"" which only serves to increase tensions. We've watched you go ahead with other projects despite expressed concerns and outright opposition (lower town development, the ridiculous ""art"" on the Stadium bridge, etc.). As a result, this survey feels disingenuous.",-0.6,3.0
67,"Eliminate the south main, division, and, Packard projects. These are primary automotive thoroughfares. The need to remain primary automotive routes. Secondary and tertiary routes should be prioritized to bicycle traffic like william street. Limiting automotive traffic on in-town ""highways"" will force traffic further into neighborhoods and onto streets where traffic should be limited. Drivers will self select routes to find their own fastest route if a primary path is not provided.",-0.1,1.2
68,"With roadblocks at driveways/streets, how do you use these lanes? Barrels haphazardly placed and confusing to navigate. As a car driver, pulling into traffic is hard to navigate. There are already bike lanes along Packard. There isn't enough bike riders to justify the chaos. Bring back all bus routes to decrease traffic. As a handicap person, covid-19 AATA limited routes/stops have made taking a bus an impossibility. Coming into winter in 2 months, timing is stupid and the project poorly executed. With all budget shortfalls due to covid-19, is this really good use of funds we have left? Most people that work & support our city are being priced out of Ann Arbor & have to commute. Making people idle needlessly in traffic is going to negate what little benefit this brings. Make the bus routes not take an hour to get across town would do better. Oh, and this survey is slanted only to measure the input of those that approve. There isn't even a question that asks if you approve or not.",-0.5,7.3
69,"I strongly prefer one-way lanes on both sides of the street (like the excellent lane on S 7th), instead of an extra wide two-way lane like on William. It is safer for making turns because drivers can see you more easily. Single one-way lanes are also better for when a cyclist needs to exit the bike lane due to an obstruction (e.g. parked car, garbage bin) blocking the bike lane.",0.3,1.0
70,Not sure.,-0.3,0.3
71,They should be removed. They are creating massive amounts of traffic. They are barely used. Even fewer people will be using them in the winter when it is cold.,-0.4,2.6
72,I love the physical barriers on division and would like to see them made permanent.,0.9,0.9
73,Install a light rail system that runs at hospitality worker hours (like late at night) throughout the Ann Arbor metro area. That is the only thing that makes sense to decrease car use. Ann Arbor has snow half of the year and biking is next to impossible for half of the year because of it. Why are we spending so much money on this instead of something practical that would work all year round for everyone (not everyone can physically bike)?,-0.4,1.6
74,"Even though I like the extra bike lanes, it takes too much away from car traffic which is substantially more people, so overall its just not worth it. Nice try, but no.",-0.7,1.4
75,Divison/B-way,0.0,0.0
76,Nothing,-0.4,0.4
77,"I think the large barricades on Packard help motorists understand that the lane is closed for them, but I think there are some bikers and walkers who may feel like that means the space is also not for them. Its not clear at every barricade (usually located where Packard intersects with a side road) that the lane is for riders/walkers because there are only signs at each end of the project, not in the middle of the route. So Id recommend adding more signs and using cones instead of the larger barricades to open up the way.",-0.3,1.1
78,Don't put them on multi lane high traffic roads - it is too dangerous despite dedicated space using only dumb orange cones to protect people. Separate bike paths and wider sidewalks would be better.,-0.5,1.1
79,"I did t realize this project would close major roads like packard. Its ridiculous! Traffic is backed up forever on Packard, causing more people to cut through residential neighborhoods! And why on earth or the signs up in residential neighborhoods with wide streets and sidewalks???? Does the city need something to do, something to make them feel productive during this pandemic? Because this is a giant waste of resources and creates traffic congestion.",-0.5,3.5
80,"I would get rid of all of them, as well as the bike lanes on William. As an older person, I NEED to drive and all of these changes make it more difficult.",-0.7,1.4
81,The Packard road closure is not needed. All the closures of the two lanes has accomplished is increased drive time and vehicles forced to wait longer for lights to move the traffic. Bikes don't move people nearly as much as vehicles on Packard. Please think before doing another waste of tax money in the name of Covid19. Social distancing on this section of Packard is not a issue.,-0.4,2.5
82,Amount of Pedestrian / traffic doesnt justify this.,-0.8,0.8
83,"Stop taking traffic lanes. Do people even drive downtown ever? Division and Broadway were a mess before you started all of this, and now rush hour is even worse.",-0.7,2.1
84,Packard (Eisenhower to Platt) have not seen one single bike. I drive that road and noticed traffic backed up because of this.,-0.6,1.3
85,Extend the Division one up around Plymouth around the bend. Get rid of the speed bumps. They are very dangerous on a bicycle in a poorly lit area.,-0.5,1.7
86,"South Main and Division. Put them back. One lane is ridiculous. I actually drive a scooter, but the new traffic pattern makes it too dangerous for me to ride it across town. I've actually reverted to driving my larger car for safety. You've created congestion and frustration on the few streets developed to actually move traffic around this town. Its becoming more attractive to move out of the city and pay lower taxes elsewhere since the commute time is now the same from out of town as it takes me to cross downtown. You are making traffic more congested and erratic, which is less safe for everyone. It feels like you're using COVID to justify a bike lane grab. One lane traffic makes it so difficult to turn left, backing up traffic, causing cars to peal off and zigzag through residential streets. I understand you want everyone to ditch their cars and ride a bike, but we live in MI with winters, that isn't going to happen. You're just making it more attractive to live in Brighton.",-0.4,8.1
87,There's a lot of potholes which makes it precarious to swerve around to avoid in bikes!,-0.4,0.4
88,"Miller / Catherine, Packard (Hill & State, Eisenhower to Platt), these areas have both heavy traffic from cars and many pedestrians and bikes. I think the bike lanes save lives.",0.2,0.7
89,The Packard section looks like a construction zone. It needs more signs within the project to make it clear that it is a bikelane.,-0.5,1.1
90,"For the first 4 in the list, better signage is a must. Thinner cones would make sense too, as many of the cones get pushed into the bike lane which reduces it's space. More information for the residences that business on the lanes too would be helpful as often they leave garbage cans in the middle of the lane.",-0.4,1.3
91,"I would love to see much of the downtown permanently closed to vehicle traffic - especially the blocks around Main. There is never any parking here anyway, just a bunch of loud trucks and motorcycles 'cruising the drag'. Everyone seems much happier now and the restaurant are busier. We are making much more of a point to use the downtown, walk, shop and eat because it is MUCH more pleasant!",0.4,3.2
92,Biggest issue is cars traveling in/parking in the lanes which creates a large safety issue in having to exit the lane to avoid them- lack of enforcement needs to change to make everyone safer,-0.7,0.7
93,Division: Eliminate it.,0.0,0.0
94,I've member seen anyone walking in the new area on Packard between Platt and Eisenhower. I wouldn't feel safe waking in this party of the road.,-0.4,0.9
95,Miller/Catherine. There are still people parking in it which totally makes the lane dysfunctional. Ive never seen any tickets even when cars were parked in the lanes for days on end. This makes me feel like people arent taking the lanes seriously.,-0.4,2.3
96,Having a more clear crossing road crossing and defined end for the bike lane over the Broadway bridge on division street (north end),0.1,0.1
97,Eliminate them. They are unnecessary.,-0.2,1.1
98,Packard,0.3,0.3
99,"I am not sure how to change it, but the project on State and N. University heavily favors people turning onto N. University. ",-0.2,0.2
100,Open all the streets back up to drivers! ASAP!,0.0,0.1
101,I think promoting bicycle use in a city that is under snow 6 months out of the year is unnecessary.,-0.5,0.5
102,The use of barriers within the lanes that are supposedly for biking in are hard to bike around. Consider switching them out for a barrel or two.,-0.4,0.9
103,"The projects on division Street and the Broadway Bridge impose more traffic on the area. I drive through that area daily and I have never seen anyone walking/riding in the closed off lanes. It seems like people do not know what the lanes are for and there is not adequate signage. The lane closures cause traffic to move much slower, and because of the series of 3 stop lights on Plymouth just past the bridge, it takes me more than 3 times as long as it normally would to travel to downtown. This coupled with the fact that the barton rd highway exit is closed is too much to bare for my daily commutes. The exit closure means I am forced to try and travel though the health street closures. My daily commute is twenty minutes longer because the ann arbor government foolishly decided they could take on too much construction at one time. This project is pointless and it makes it infinitely harder for people to travel throughout the city.",-0.6,5.0
104,"As a cyclist I really appreciate the effort to expand the citys cycling infrastructure, but safety concerns prevent me from fully utilizing the pilot projects. I frequently see vehicles turning into the closed lanes or parked in the bike lanes (especially on Division). Now that more students have returned and traffic is heavier, constantly watching for cars that arent anticipating cyclists and cant read road signs is stressful enough that I stick to the off-road paths.",-0.3,1.2
105,Remove this stupid waste of taxpayer money. More sitting in traffic = more carbon. SMART.,-0.3,1.5
106,"Regarding the bike routes, an integrated network is absolutely necessary: the current routes are a good start but I would hope for an expansion of the network. In addition, the city should do everything they can to create **protected** bike lanes so that all bicyclists can feel safe using them. A large majority of movement along these streets, but especially Division, Miller, and William is pedestrian and bike traffic, and yet a large majority of the road space is dedicated to (often single-passenger) vehicles. I encourage the city to pursue a more equitable street design across the city, rather than prioritizing a mode of transport primarily used by the wealthiest part of the city population.",-0.1,0.9
107,"Projects that are on major traffic routes (ie. South Main between Madison and Stadium) need all of the lanes for car traffic. Cutting down to one line in each direction makes turning on/off Main from residential side streets without stoplights more dangerous. Additionally, if traffic picks up to pre-covid levels the effect on rush hour traffic will be disastrous. Prior to Covid it sometimes took 20 minutes with two lane traffic just to drive from Hill to Stadium due to congestion. The sidewalks are not crowded on this part of South Main and are more than adequate for bicycle/walking traffic in this area of town.",-0.2,3.4
108,I am opposed to the project on division. There is already a pedestrian bridge on division over the river. I'm this project certainly does not help pedestrians. It makes it dangerous for cars. Particularly a right turn from Carey onto divisions as already challenging due to traffic e coming at high speed and low visibility. Now we have to cross a bike lane too. I am very opposed to this being a permanent change. Your surgery questions are also all written from the perspective of bikes and you seem uninterested in opinion of motorists.,-0.4,4.7
109,All of them,0.0,0.0
110,Packard,0.3,0.3
111,"For all of the pilot projects, they back up traffic and make driving harder and more difficult at all times of day",-0.3,0.3
112,replace S Main with first street,0.0,0.0
113,Division street pilot project should either be done after the street is widened or scrapped. That street is a thoroughfare for the city and cutting it down to one full lane is counter productive.,-0.4,0.9
114,"More than just scattered cones to denote the bike lanes, to make it feel safer and protected from cars and so it's not so hideous. Better signage denoting the bike lanes, including how to get onto a two-way bike lane in the direction against car traffic.",0.4,0.9
115,"I love the potential and experimentation, but it's confusing and rough right now. Scared it will turn people off of the idea before it can evolve. Confusing with just the traffic barrels. Paint/signage helps. Unclear about how to use Swift street to Broadway bridge, no signage and danger of right turners? Is this part for bikes even? Unsure how to properly take a left onto Catherine going east on division, maybe that isnt possible? Going west on Division and getting to that temporary four way stop was confusing. Was there even a stop sign?It was VERY weird to see the back of the traffic lights and no clear signage! Going straight with ped signal makes a lot of sense.",-0.3,5.7
116,The barricades on Packard from Eisenhower to platt should take up less space in the lane. It makes riding difficult because you have to dodge the barricades.,-0.7,1.4
117,"Do away with this ""healthy streets"" and have bikes and pedestrians use the sidewalk.",-0.7,0.7
118,"I saw the Packard (from Eisenhower to Platt) street closure for the first time yesterday. I like the concept, but I think the execution was poor. It looks like a construction zone and the bikers were not using it. The barriers set perpendicular to the road made it appear like that lane was off limits. In the long run, a wider sidewalk turned into a shared bike path seems to make more sense for that spot. I live just east of carpenter rd. It would be awesome for me if the bike path went out that far instead of stopping at Platt.",-0.1,3.0
119,Packard heading west into the one lane is a huge traffic problem.,-0.7,0.7
120,Packard from Platt to Eisenhower - stuck in traffic backups both Friday and Saturday and witnessed an accident at entrance to Buhr Park on friday. Healthy Streets should not be encouraging people to cut through surrounding neighborhoods!!! Come on! Some of us still need to use our cars and this is punishing us for that need. You've completely lost my support for this ridiculous idea!,-0.7,3.9
121,N/a,-0.4,0.4
122,Division Street - make barriers permanent and plan for removal of snow & ice,-0.1,0.1
123,Not close off a lane on Broadway bridge. I was on the design study committee for the bridge. We designed it with extra wide protected pedestrian/bike lanes to keep bikes out of the traffic lanes. By closing one lane you are defeating the design process that went into it.,-0.2,1.8
124,"If you are going to takeaway parking on the street, more parking needs to be added elsewhere. These bike paths create traffic.",-0.6,1.2
125,This experiment demonstrates the failure to consider the tailpipe emissions of vehicles stuck in traffic congestion.,-0.6,0.6
126,"Division Street, the south side of huran. Unclear if the bike lane is also the turn lane. There was a car in what I thought was the bike lane turning east.",-0.1,0.4
127,Packard from Eisenhower to plant,0.0,0.0
128,I would get rid of all of them. They seem to be underutilized and just cause more traffic congestion. This leads to more air pollution as anyone driving has to wait twice as long to get through lights and navigate the many obstacles now in our town. This town was a mess to get around in previously but now borders on the ridiculous.,-0.7,3.0
129,Packard (from Eisenhower to Platt) This project should be removed immediately. The idling cars sitting in unnecessary traffic back ups are contributing to decreased air quality in the area. Common sense says this is not a good thing to contribute to during a pandemic that affects the respiratory system.,-0.7,2.3
130,For all of these projects i think I would use green barrels or something to differentiate this kind of project vs. just a construction project.,0.0,0.0
131,"All programs - I am new to town, and thought the barriers were construction zones on the sides of streets, and talked to other MBA students who had the same thought. We were all avoiding the temporary bike lanes and diving into traffic because we thought it was the only option! How counterintuitive. Maybe the entrances to these can have a sign or paint on the road. The cone at the entrance (even while I know it's to keep out cars) makes it look like even more of a deterrent.",-0.1,0.7
132,"Stop signs for bikes on Division, Catherine, and anywhere where bicyclists should stop. Maybe signs on fifth (at catherine) telling cars to look for oncoming bikes from their sides. Barrels to stop being moved out of the center of the lanes on Division. Cars keep getting in the right turn lanes because the barrels have been moved. Signage showing that these lanes are open to bikes and pedestrians and not just construction-- I've seen a lot of people biking next to them on the sidewalk. Benches in some wide lanes could indicate they are open to people.",-0.3,1.8
133,South Main does not seem as residential as the other areas. It seems that it is likely to cause traffic rather than provide benefit to pedestrians.,-0.7,1.4
134,"Packard (from Eisenhower to Platt) The standing barriers require bikes to navigate around them fairly close to traffic, especially wide bikes (e.g. the adult tricycle I ride, or bikes with a child trailer.)",-0.1,0.1
135,Physical barrier between car and bike lanes. Better signing. better traffic striping.,0.0,1.2
136,"Packard (Eisenhower to Platt). I would recommend removing this pilot project. It is (1) unsightly, (2) unsafe, (3) unnecessary, and (if ignore the prior three points) (4) not executed well. (1) The barrels make the street look like it is under construction and a mess. (2) Westbound on Packard coming to Platt, the barrels force traffic into the left lane. But I often want to turn right (north) onto Platt to go to work or shopping. The pilot project causes an unnecessary lane shift for traffic, which is unsafe. I have to move left, into an even more active lane of traffic in order to come up to the intersection; then I turn right immediately. If anything, you should remove all obstructions on Packard East of Platt. (3) The amount of bicycle and walking traffic in this area is very low. Social distancing is easy to maintain by stepping aside into a driveway or off the sidewalk. (4) There are many barriers along the blocked-off lane, making use of it impractical, esp. for bikers.",-0.3,6.1
137,Off campus student housing density along south State St creates a serious need for bike lanes along that corridor.,-0.2,0.2
138,I see buses having trouble negotiating corners at times. Maybe do something to ease enough space on corners for big vehicles to be able to turn easier.,-0.5,1.0
139,"I haven't actually used any of the projects. But driving by and looking at them, I applaud the idea but they do not look terribly attractive. Some of the barriers and cones have gotten moved so that they block part of the bike lane, and on Division street there are a couple huge ""speed bumps"" extending from sidewalks, which look really unpleasant to bike over at any but the slowest speed.",-0.4,1.3
140,"Get rid of the lane blocked off between Eisenhower and Platt!!! That is usually a ttaffic bottleneck during rush hour. And both signals need battery backup power during rush hour. Power goes out at Packard and Platt, traffic backs up all the way to Eisenhower and it takes half an hour to get through there. If anything, having a wider shared-use path, like along Washtenaw between Platt and Stadium, would be a far better solution than blocking off a lane on Packard.",-0.3,1.9
141,"Packard from Eisenhower to Platt. This is EXTREMELY disruptive to traffic. During rush hour times, especially afternoon rush hour, traffic is backed up horribly. It is extremely stressful being stuck in traffic because the road has been taken down to one lane in each direction. There is not a substantial amount of walking or biking traffic on this road. Auto traffic is the majority of traffic and it is being hindered considerably by this!",-0.6,3.9
142,"The South main corridor should not be used, there are plenty of other options for safe bicycle ingress and egress to the downtown area. At some point you need to consider the people who are not going to walk or bike into town and who are the predominant economic impacters. If we quit coming into town, the whole town will be able to be bike and pedestrian friendly, because there will be zero economic activity downtown. The people that come and patronize downtown businesses need to be accommodated. If you make it too difficult or traffic unfriendly, we will just start utilizing other establishments outside of downtown and out of town (I love Toledo too). I go to Afternoon Delight 2 to 3 times a week for lunch/brunch and to various dinner establish 1 to 2 times a week. I can easily find other places to dine. I also regularly go to Kilwins, Cherry Republic, 16 hands, Shinola, Four Directions, Running Fit, and Downtown Home and Garden.",-0.1,2.9
143,Stop the program,-0.8,0.8
144,The Division St. project needs to stop atg the bridge and route traffic to the existing sidewalk across the bridge. And also fill the existing gap on Division. Love the Packard at Hill & State lane!,0.1,1.6
145,"For any of them -- more extensive separation from cars. I've seen cars driving and parking in the Division lane, and some of the barrels have been demolished.",-0.2,0.6
146,Increased signage and better use of barriers so those using the non-motorized lanes dont have to swerve into traffic to avoid the barriers.,0.2,0.2
147,"eliminate packard -eisenhower-platt. i drive this route several times daily and have never seen anyone use the lanes alotted for biking or walking, only for illegally cutting past the line of traffic through the neighborhoods to avoid the congestion that occurs all the time due to the lane closures.",-0.3,0.6
148,I'm thrilled about the miller/catherine and first street areas becoming more ped/bike safe,0.9,0.9
149,"There are giant temporary barriers in the Packard (Eisenhower to Platt) lanes, which make them not very useful for biking.",-0.8,0.8
150,Immediately cancel the experiment on S. Main and on Broadway/Division Street (especially north of Liberty) to eliminate the extreme traffic congestion they cause.,-0.1,0.1
151,Packard (from Eisenhower to Platt) is just dangerous. Having one lane for traffic causes major backups during rush hour a and agitates drivers who are more likely to speed then. Lanes are too close to cars that are going fast along Packard and barriers don't leave enough room for walking or biking,-0.6,1.9
152,Get rid of them,-0.8,0.8
